Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Devin Vassell,24,SG,64,31.0,16.3,4.0,2.9,1.3,0.5,0.443,0.368,29347826
Jordan Clarkson,32,SG,37,26.0,16.2,3.2,3.7,0.8,0.2,0.408,0.362,14092577
Paul George,34,PF,41,32.5,16.2,5.3,4.3,1.8,0.5,0.43,0.358,49205800
Jalen Suggs,23,PG,35,28.6,16.2,4.0,3.7,1.5,0.9,0.41,0.314,9188385
Bennedict Mathurin,22,SF,72,29.8,16.1,5.3,1.9,0.7,0.3,0.458,0.34,7245720
Myles Turner,28,C,72,30.2,15.6,6.5,1.5,0.8,2.0,0.481,0.396,19928500
Christian Braun,23,SG,79,33.9,15.4,5.2,2.6,1.1,0.5,0.58,0.397,3089640
Jonathan Kuminga,22,PF,47,24.3,15.3,4.6,2.2,0.8,0.4,0.454,0.305,7636307
Jared McCain,20,SG,23,25.7,15.3,2.4,2.6,0.7,0.0,0.46,0.383,4020360
Mark Williams,23,C,44,26.6,15.3,10.2,2.5,0.7,1.2,0.604,0.0,4094280
Kelly Oubre Jr.,29,SF,60,34.6,15.1,6.1,1.8,1.5,0.5,0.47,0.293,7983000
Chet Holmgren,22,C,32,27.4,15.0,8.0,2.0,0.7,2.2,0.49,0.379,10880640
Kyle Kuzma,29,PF,65,29.8,14.8,5.7,2.3,0.6,0.3,0.436,0.307,24456061
Stephon Castle,20,PG,81,26.7,14.7,3.7,4.1,0.9,0.3,0.428,0.285,9105120
Aaron Gordon,29,PF,51,28.4,14.7,4.8,3.2,0.5,0.3,0.531,0.436,22841455
P.J. Washington,26,PF,57,32.2,14.7,7.8,2.3,1.1,1.1,0.453,0.381,15500000
Quentin Grimes,24,SG,75,26.8,14.6,4.3,3.0,1.0,0.3,0.467,0.385,4296682
Josh Giddey,22,PG,70,30.2,14.6,8.1,7.2,1.2,0.6,0.465,0.378,8352367
Jakob Poeltl,29,C,57,29.6,14.5,9.6,2.8,1.2,1.2,0.627,0.333,19500000
Deandre Ayton,26,C,40,30.2,14.4,10.2,1.6,0.8,1.0,0.566,0.188,34005126
Gradey Dick,21,SG,54,29.4,14.4,3.6,1.8,0.9,0.2,0.41,0.35,4763760
Jerami Grant,30,PF,47,32.4,14.4,3.5,2.1,0.9,1.0,0.373,0.365,29793104
Payton Pritchard,27,PG,80,28.4,14.3,3.8,3.5,0.9,0.2,0.472,0.407,6696429
Naz Reid,25,C,80,27.5,14.2,6.0,2.3,0.7,0.9,0.462,0.379,13986432
Dyson Daniels,21,SG,76,33.8,14.1,5.9,4.4,3.0,0.7,0.493,0.34,6059520
Tre Mann,23,PG,13,24.5,14.1,2.9,3.0,0.5,0.3,0.435,0.4,4908373
Amen Thompson,22,SF,69,32.2,14.1,8.2,3.8,1.4,1.3,0.557,0.275,9249960
Fred VanVleet,30,PG,60,35.2,14.1,3.7,5.6,1.6,0.4,0.378,0.345,42846615
Dillon Brooks,29,SF,75,31.8,14.0,3.7,1.7,0.8,0.2,0.429,0.397,22255493
Klay Thompson,34,SF,72,27.3,14.0,3.4,2.0,0.7,0.4,0.412,0.391,15873016
Bobby Portis,29,PF,49,25.4,13.9,8.4,2.1,0.7,0.5,0.466,0.365,12578286
Tobias Harris,32,PF,73,31.6,13.7,5.9,2.2,1.0,0.8,0.477,0.345,25365854
